Targeting Code	Price (CPM)	Full Name	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Description	Updated Description
FDCSG11	$1.50	Factual Singapore > Behavioral > Retail > Electronics Shoppers (Electronics Buyer)	Factual	Factual Singapore	Behavioral	Retail	Electronics Shoppers (Electronics Buyer)			Consumers that frequently shop for products such as video games, mobile phones, connected televisions, and other electronics and technology products.	
FDCSG10	$1.50	Factual Singapore > Behavioral > Lifestyle and Lifestage > Nightlife and Entertainment Enthusiasts	Factual	Factual Singapore	Behavioral	Lifestyle and Lifestage	Nightlife and Entertainment Enthusiasts			Consumers that spend their leisure time at social entertainment venue.	
FDCSG1	$1.50	Factual Singapore > Behavioral > Auto > In-Market Auto Intenders - All Cars (In Market Auto Buyer)	Factual	Factual Singapore	Behavioral	Auto	In-Market Auto Intenders - All Cars (In Market Auto Buyer)			Consumers that are likely to be interested in purchasing or leasing a new or pre-owned vehicle.	
FDCJP9	$1.50	Factual Japan > Behavioral > Lifestyle and Lifestage > Moviegoers	Factual	Factual Japan	Behavioral	Lifestyle and Lifestage	Moviegoers			Consumers that frequent movie theaters.	
FDCJP8	$1.50	Factual Japan > Behavioral > Lifestyle and Lifestage > Live Sports Fans	Factual	Factual Japan	Behavioral	Lifestyle and Lifestage	Live Sports Fans			Consumers that attend live sporting events.	
FDCJP7	$1.50	Factual Japan > Behavioral > Lifestyle and Lifestage > Live Music Fans and Concert-goers	Factual	Factual Japan	Behavioral	Lifestyle and Lifestage	Live Music Fans and Concert-goers			Consumers that attend concerts and other live music events.	
FDCJP6	$1.50	Factual Japan > Behavioral > Lifestyle and Lifestage > Gym and Fitness Lifestyle	Factual	Factual Japan	Behavioral	Lifestyle and Lifestage	Gym and Fitness Lifestyle			Consumers that regularly go to gyms or fitness centers.	
FDCJP5	$1.50	Factual Japan > Behavioral > Lifestyle and Lifestage > Family Fun Lifestyle (Family Fun Activities)	Factual	Factual Japan	Behavioral	Lifestyle and Lifestage	Family Fun Lifestyle (Family Fun Activities)			Consumers that attend venues like amusement parks, zoos, and aquariums.	
FDCJP4	$1.50	Factual Japan > Behavioral > Lifestyle and Lifestage > College Students	Factual	Factual Japan	Behavioral	Lifestyle and Lifestage	College Students			Consumers that are college or graduate students and spend time on campus.	
FDCJP3	$1.50	Factual Japan > Behavioral > Food and Beverage > Fast Food and QSR Diners (Quick Serve Restaurant Diner)	Factual	Factual Japan	Behavioral	Food and Beverage	Fast Food and QSR Diners (Quick Serve Restaurant Diner)			Consumers with location history patterns that include frequent visits to quick serve restaurants.	
FDCJP29	$1.50	Factual Japan > Brand Shoppers > Pizza Hut	Factual	Factual Japan	Brand Shoppers		Pizza Hut			Consumers that have recently been to a Pizza Hut	
FDCJP28	$1.50	Factual Japan > Brand Shoppers > McDonalds	Factual	Factual Japan	Brand Shoppers		McDonalds			Consumers that have recently been to a McDonalds	
FDCJP27	$1.50	Factual Japan > Brand Shoppers > KFC	Factual	Factual Japan	Brand Shoppers		KFC			Consumers that have recently been to a KFC	
FDCJP26	$1.50	Factual Japan > Brand Shoppers > HottoMotto	Factual	Factual Japan	Brand Shoppers		HottoMotto			Consumers that have recently been to a HottoMotto	
FDCJP25	$1.50	Factual Japan > Brand Shoppers > Sukiya	Factual	Factual Japan	Brand Shoppers		Sukiya			Consumers that have recently been to a Sukiya	
FDCJP24	$1.50	Factual Japan > Brand Shoppers > Starbucks	Factual	Factual Japan	Brand Shoppers		Starbucks			Consumers that have recently been to a Starbucks	
FDCJP23	$1.50	Factual Japan > Brand Shoppers > H&M	Factual	Factual Japan	Brand Shoppers		H&M			Consumers that have recently been to an H&M	
FDCJP22	$1.50	Factual Japan > Brand Shoppers > Uniqlo	Factual	Factual Japan	Brand Shoppers		Uniqlo			Consumers that have recently been to a Uniqlo	
FDCJP21	$1.50	Factual Japan > Brand Shoppers > Lawson	Factual	Factual Japan	Brand Shoppers		Lawson			Consumers that have recently been to a Lawson location	
FDCJP20	$1.50	Factual Japan > Brand Shoppers > 7-Eleven	Factual	Factual Japan	Brand Shoppers		7-Eleven			Consumers that have recently been to a 7-Eleven	
FDCJP2	$1.50	Factual Japan > Behavioral > Food and Beverage > Coffee and Tea Enthusiasts	Factual	Factual Japan	Behavioral	Food and Beverage	Coffee and Tea Enthusiasts			Consumers that enjoy drinking coffee and tea.	
FDCJP19	$1.50	Factual Japan > Brand Shoppers > Ministop	Factual	Factual Japan	Brand Shoppers		Ministop			Consumers that have recently been to a Ministop	
FDCJP18	$1.50	Factual Japan > Brand Shoppers > FamilyMart	Factual	Factual Japan	Brand Shoppers		FamilyMart			Consumers that have recently been to a FamilyMart	
FDCJP17	$1.50	Factual Japan > Behavioral > Travel and Transportation > Public Transportation Commuters (Daily Commuter)	Factual	Factual Japan	Behavioral	Travel and Transportation	Public Transportation Commuters (Daily Commuter)			Consumers that commute via public transportation on a regular schedule.	
FDCJP16	$1.50	Factual Japan > Behavioral > Travel and Transportation > Frequent Travelers	Factual	Factual Japan	Behavioral	Travel and Transportation	Frequent Travelers			Consumers that frequently travel by plane or train.	
FDCJP15	$1.50	Factual Japan > Behavioral > Travel and Transportation > Business Travelers	Factual	Factual Japan	Behavioral	Travel and Transportation	Business Travelers			Consumers whose location patterns indicate travel between cities for work.	
FDCJP14	$1.50	Factual Japan > Behavioral > Retail > Luxury Goods Shoppers (Affluent Consumer)	Factual	Factual Japan	Behavioral	Retail	Luxury Goods Shoppers (Affluent Consumer)			Consumers that shop for luxury goods and services.	
FDCJP13	$1.50	Factual Japan > Behavioral > Retail > Health Food Shoppers	Factual	Factual Japan	Behavioral	Retail	Health Food Shoppers			Consumers that frequent health food stores.	
FDCJP12	$1.50	Factual Japan > Behavioral > Retail > Financial Services Customers	Factual	Factual Japan	Behavioral	Retail	Financial Services Customers			Consumers that frequently use financial services.	
FDCJP11	$1.50	Factual Japan > Behavioral > Retail > Electronics Shoppers (Electronics Buyer)	Factual	Factual Japan	Behavioral	Retail	Electronics Shoppers (Electronics Buyer)			Consumers that frequently shop for products such as video games, mobile phones, connected televisions, and other electronics and technology products.	
FDCJP10	$1.50	Factual Japan > Behavioral > Lifestyle and Lifestage > Nightlife and Entertainment Enthusiasts	Factual	Factual Japan	Behavioral	Lifestyle and Lifestage	Nightlife and Entertainment Enthusiasts			Consumers that spend their leisure time at social entertainment venue.	
FDCJP1	$1.50	Factual Japan > Behavioral > Auto > In-Market Auto Intenders - All Cars (In Market Auto Buyer)	Factual	Factual Japan	Behavioral	Auto	In-Market Auto Intenders - All Cars (In Market Auto Buyer)			Consumers that are likely to be interested in purchasing or leasing a new or pre-owned vehicle.	
FDCHK9	$1.50	Factual HK > Behavioral > Lifestyle and Lifestage > Moviegoers	Factual	Factual HK	Behavioral	Lifestyle and Lifestage	Moviegoers			Consumers that frequent movie theaters.	
FDCHK8	$1.50	Factual HK > Behavioral > Lifestyle and Lifestage > Live Sports Fans	Factual	Factual HK	Behavioral	Lifestyle and Lifestage	Live Sports Fans			Consumers that attend live sporting events.	
FDCHK7	$1.50	Factual HK > Behavioral > Lifestyle and Lifestage > Live Music Fans and Concert-goers	Factual	Factual HK	Behavioral	Lifestyle and Lifestage	Live Music Fans and Concert-goers			Consumers that attend concerts and other live music events.	
FDCHK6	$1.50	Factual HK > Behavioral > Lifestyle and Lifestage > Gym and Fitness Lifestyle	Factual	Factual HK	Behavioral	Lifestyle and Lifestage	Gym and Fitness Lifestyle			Consumers that regularly go to gyms or fitness centers.	
FDCHK5	$1.50	Factual HK > Behavioral > Lifestyle and Lifestage > Family Fun Lifestyle (Family Fun Activities)	Factual	Factual HK	Behavioral	Lifestyle and Lifestage	Family Fun Lifestyle (Family Fun Activities)			Consumers that attend venues like amusement parks, zoos, and aquariums.	
FDCHK4	$1.50	Factual HK > Behavioral > Lifestyle and Lifestage > College Students	Factual	Factual HK	Behavioral	Lifestyle and Lifestage	College Students			Consumers that are college or graduate students and spend time on campus.	
FDCHK3	$1.50	Factual HK > Behavioral > Food and Beverage > Fast Food and QSR Diners (Quick Serve Restaurant Diner)	Factual	Factual HK	Behavioral	Food and Beverage	Fast Food and QSR Diners (Quick Serve Restaurant Diner)			Consumers with location history patterns that include frequent visits to quick serve restaurants.	
FDCHK21	$1.50	Factual HK > Brand Shoppers > Watsons	Factual	Factual HK	Brand Shoppers		Watsons			Consumers that have recently been to a Watsons	
FDCHK20	$1.50	Factual HK > Brand Shoppers > HSBC Bank	Factual	Factual HK	Brand Shoppers		HSBC Bank			Consumers that have recently been to a HSBC Bank	
FDCHK2	$1.50	Factual HK > Behavioral > Food and Beverage > Coffee and Tea Enthusiasts	Factual	Factual HK	Behavioral	Food and Beverage	Coffee and Tea Enthusiasts			Consumers that enjoy drinking coffee and tea.	
FDCHK19	$1.50	Factual HK > Brand Shoppers > Circle K	Factual	Factual HK	Brand Shoppers		Circle K			Consumers that have recently been to a Circle K	
FDCHK18	$1.50	Factual HK > Brand Shoppers > 7-Eleven	Factual	Factual HK	Brand Shoppers		7-Eleven			Consumers that have recently been to a 7-Eleven	
FDCHK17	$1.50	Factual HK > Behavioral > Travel and Transportation > Public Transportation Commuters (Daily Commuter)	Factual	Factual HK	Behavioral	Travel and Transportation	Public Transportation Commuters (Daily Commuter)			Consumers that commute via public transportation on a regular schedule.	
FDCHK16	$1.50	Factual HK > Behavioral > Travel and Transportation > Frequent Travelers	Factual	Factual HK	Behavioral	Travel and Transportation	Frequent Travelers			Consumers that frequently travel by plane or train.	
FDCHK15	$1.50	Factual HK > Behavioral > Travel and Transportation > Business Travelers	Factual	Factual HK	Behavioral	Travel and Transportation	Business Travelers			Consumers whose location patterns indicate travel between cities for work.	
FDCHK14	$1.50	Factual HK > Behavioral > Retail > Luxury Goods Shoppers (Affluent Consumer)	Factual	Factual HK	Behavioral	Retail	Luxury Goods Shoppers (Affluent Consumer)			Consumers that shop for luxury goods and services.	
FDCHK13	$1.50	Factual HK > Behavioral > Retail > Health Food Shoppers	Factual	Factual HK	Behavioral	Retail	Health Food Shoppers			Consumers that frequent health food stores.	
FDCHK12	$1.50	Factual HK > Behavioral > Retail > Financial Services Customers	Factual	Factual HK	Behavioral	Retail	Financial Services Customers			Consumers that frequently use financial services.	
FDCHK11	$1.50	Factual HK > Behavioral > Retail > Electronics Shoppers (Electronics Buyer)	Factual	Factual HK	Behavioral	Retail	Electronics Shoppers (Electronics Buyer)			Consumers that frequently shop for products such as video games, mobile phones, connected televisions, and other electronics and technology products.	
FDCHK10	$1.50	Factual HK > Behavioral > Lifestyle and Lifestage > Nightlife and Entertainment Enthusiasts	Factual	Factual HK	Behavioral	Lifestyle and Lifestage	Nightlife and Entertainment Enthusiasts			Consumers that spend their leisure time at social entertainment venue.	
FDCHK1	$1.50	Factual HK > Behavioral > Auto > In-Market Auto Intenders - All Cars (In Market Auto Buyer)	Factual	Factual HK	Behavioral	Auto	In-Market Auto Intenders - All Cars (In Market Auto Buyer)			Consumers that are likely to be interested in purchasing or leasing a new or pre-owned vehicle.	
FDCCDWY00	$1.50	Political > US Congressional Districts > Wyoming > Wyoming At-large Congressional District (WY-00)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wyoming	Wyoming At-large Congressional District (WY-00)		People who live in the Wyoming At-large Congressional District (WY-00)	
FDCCDWV03	$1.50	Political > US Congressional Districts > West Virginia > West Virginia 3rd Congressional District (WV-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	West Virginia	West Virginia 3rd Congressional District (WV-03)		People who live in the West Virginia 3rd Congressional District (WV-03)	
FDCCDWV02	$1.50	Political > US Congressional Districts > West Virginia > West Virginia 2nd Congressional District (WV-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	West Virginia	West Virginia 2nd Congressional District (WV-02)		People who live in the West Virginia 2nd Congressional District (WV-02)	
FDCCDWV01	$1.50	Political > US Congressional Districts > West Virginia > West Virginia 1st Congressional District (WV-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	West Virginia	West Virginia 1st Congressional District (WV-01)		People who live in the West Virginia 1st Congressional District (WV-01)	
FDCCDWI08	$1.50	Political > US Congressional Districts > Wisconsin > Wisconsin 8th Congressional District (WI-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wisconsin	Wisconsin 8th Congressional District (WI-08)		People who live in the Wisconsin 8th Congressional District (WI-08)	
FDCCDWI07	$1.50	Political > US Congressional Districts > Wisconsin > Wisconsin 7th Congressional District (WI-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wisconsin	Wisconsin 7th Congressional District (WI-07)		People who live in the Wisconsin 7th Congressional District (WI-07)	
FDCCDWI06	$1.50	Political > US Congressional Districts > Wisconsin > Wisconsin 6th Congressional District (WI-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wisconsin	Wisconsin 6th Congressional District (WI-06)		People who live in the Wisconsin 6th Congressional District (WI-06)	
FDCCDWI05	$1.50	Political > US Congressional Districts > Wisconsin > Wisconsin 5th Congressional District (WI-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wisconsin	Wisconsin 5th Congressional District (WI-05)		People who live in the Wisconsin 5th Congressional District (WI-05)	
FDCCDWI04	$1.50	Political > US Congressional Districts > Wisconsin > Wisconsin 4th Congressional District (WI-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wisconsin	Wisconsin 4th Congressional District (WI-04)		People who live in the Wisconsin 4th Congressional District (WI-04)	
FDCCDWI03	$1.50	Political > US Congressional Districts > Wisconsin > Wisconsin 3rd Congressional District (WI-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wisconsin	Wisconsin 3rd Congressional District (WI-03)		People who live in the Wisconsin 3rd Congressional District (WI-03)	
FDCCDWI02	$1.50	Political > US Congressional Districts > Wisconsin > Wisconsin 2nd Congressional District (WI-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wisconsin	Wisconsin 2nd Congressional District (WI-02)		People who live in the Wisconsin 2nd Congressional District (WI-02)	
FDCCDWI01	$1.50	Political > US Congressional Districts > Wisconsin > Wisconsin 1st Congressional District (WI-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Wisconsin	Wisconsin 1st Congressional District (WI-01)		People who live in the Wisconsin 1st Congressional District (WI-01)	
FDCCDWA10	$1.50	Political > US Congressional Districts > Washington > Washington 10th Congressional District (WA-10)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 10th Congressional District (WA-10)		People who live in the Washington 10th Congressional District (WA-10)	
FDCCDWA09	$1.50	Political > US Congressional Districts > Washington > Washington 9th Congressional District (WA-09)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 9th Congressional District (WA-09)		People who live in the Washington 9th Congressional District (WA-09)	
FDCCDWA08	$1.50	Political > US Congressional Districts > Washington > Washington 8th Congressional District (WA-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 8th Congressional District (WA-08)		People who live in the Washington 8th Congressional District (WA-08)	
FDCCDWA07	$1.50	Political > US Congressional Districts > Washington > Washington 7th Congressional District (WA-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 7th Congressional District (WA-07)		People who live in the Washington 7th Congressional District (WA-07)	
FDCCDWA06	$1.50	Political > US Congressional Districts > Washington > Washington 6th Congressional District (WA-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 6th Congressional District (WA-06)		People who live in the Washington 6th Congressional District (WA-06)	
FDCCDWA05	$1.50	Political > US Congressional Districts > Washington > Washington 5th Congressional District (WA-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 5th Congressional District (WA-05)		People who live in the Washington 5th Congressional District (WA-05)	
FDCCDWA04	$1.50	Political > US Congressional Districts > Washington > Washington 4th Congressional District (WA-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 4th Congressional District (WA-04)		People who live in the Washington 4th Congressional District (WA-04)	
FDCCDWA03	$1.50	Political > US Congressional Districts > Washington > Washington 3rd Congressional District (WA-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 3rd Congressional District (WA-03)		People who live in the Washington 3rd Congressional District (WA-03)	
FDCCDWA02	$1.50	Political > US Congressional Districts > Washington > Washington 2nd Congressional District (WA-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 2nd Congressional District (WA-02)		People who live in the Washington 2nd Congressional District (WA-02)	
FDCCDWA01	$1.50	Political > US Congressional Districts > Washington > Washington 1st Congressional District (WA-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Washington	Washington 1st Congressional District (WA-01)		People who live in the Washington 1st Congressional District (WA-01)	
FDCCDVT00	$1.50	Political > US Congressional Districts > Vermont > Vermont At-large Congressional District (VT-00)	Factual	Geopulse Audiences	Political	US Congressional Districts	Vermont	Vermont At-large Congressional District (VT-00)		People who live in the Vermont At-large Congressional District (VT-00)	
FDCCDVA11	$1.50	Political > US Congressional Districts > Virginia > Virginia 11th Congressional District (VA-11)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 11th Congressional District (VA-11)		People who live in the Virginia 11th Congressional District (VA-11)	
FDCCDVA10	$1.50	Political > US Congressional Districts > Virginia > Virginia 10th Congressional District (VA-10)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 10th Congressional District (VA-10)		People who live in the Virginia 10th Congressional District (VA-10)	
FDCCDVA09	$1.50	Political > US Congressional Districts > Virginia > Virginia 9th Congressional District (VA-09)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 9th Congressional District (VA-09)		People who live in the Virginia 9th Congressional District (VA-09)	
FDCCDVA08	$1.50	Political > US Congressional Districts > Virginia > Virginia 8th Congressional District (VA-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 8th Congressional District (VA-08)		People who live in the Virginia 8th Congressional District (VA-08)	
FDCCDVA07	$1.50	Political > US Congressional Districts > Virginia > Virginia 7th Congressional District (VA-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 7th Congressional District (VA-07)		People who live in the Virginia 7th Congressional District (VA-07)	
FDCCDVA06	$1.50	Political > US Congressional Districts > Virginia > Virginia 6th Congressional District (VA-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 6th Congressional District (VA-06)		People who live in the Virginia 6th Congressional District (VA-06)	
FDCCDVA05	$1.50	Political > US Congressional Districts > Virginia > Virginia 5th Congressional District (VA-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 5th Congressional District (VA-05)		People who live in the Virginia 5th Congressional District (VA-05)	
FDCCDVA04	$1.50	Political > US Congressional Districts > Virginia > Virginia 4th Congressional District (VA-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 4th Congressional District (VA-04)		People who live in the Virginia 4th Congressional District (VA-04)	
FDCCDVA03	$1.50	Political > US Congressional Districts > Virginia > Virginia 3rd Congressional District (VA-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 3rd Congressional District (VA-03)		People who live in the Virginia 3rd Congressional District (VA-03)	
FDCCDVA02	$1.50	Political > US Congressional Districts > Virginia > Virginia 2nd Congressional District (VA-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 2nd Congressional District (VA-02)		People who live in the Virginia 2nd Congressional District (VA-02)	
FDCCDVA01	$1.50	Political > US Congressional Districts > Virginia > Virginia 1st Congressional District (VA-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Virginia	Virginia 1st Congressional District (VA-01)		People who live in the Virginia 1st Congressional District (VA-01)	
FDCCDUT04	$1.50	Political > US Congressional Districts > Utah > Utah 4th Congressional District (UT-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Utah	Utah 4th Congressional District (UT-04)		People who live in the Utah 4th Congressional District (UT-04)	
FDCCDUT03	$1.50	Political > US Congressional Districts > Utah > Utah 3rd Congressional District (UT-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Utah	Utah 3rd Congressional District (UT-03)		People who live in the Utah 3rd Congressional District (UT-03)	
FDCCDUT02	$1.50	Political > US Congressional Districts > Utah > Utah 2nd Congressional District (UT-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Utah	Utah 2nd Congressional District (UT-02)		People who live in the Utah 2nd Congressional District (UT-02)	
FDCCDUT01	$1.50	Political > US Congressional Districts > Utah > Utah 1st Congressional District (UT-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Utah	Utah 1st Congressional District (UT-01)		People who live in the Utah 1st Congressional District (UT-01)	
FDCCDTX36	$1.50	Political > US Congressional Districts > Texas > Texas 36th Congressional District (TX-36)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 36th Congressional District (TX-36)		People who live in the Texas 36th Congressional District (TX-36)	
FDCCDTX35	$1.50	Political > US Congressional Districts > Texas > Texas 35th Congressional District (TX-35)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 35th Congressional District (TX-35)		People who live in the Texas 35th Congressional District (TX-35)	
FDCCDTX34	$1.50	Political > US Congressional Districts > Texas > Texas 34th Congressional District (TX-34)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 34th Congressional District (TX-34)		People who live in the Texas 34th Congressional District (TX-34)	
FDCCDTX33	$1.50	Political > US Congressional Districts > Texas > Texas 33rd Congressional District (TX-33)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 33rd Congressional District (TX-33)		People who live in the Texas 33rd Congressional District (TX-33)	
FDCCDTX32	$1.50	Political > US Congressional Districts > Texas > Texas 32nd Congressional District (TX-32)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 32nd Congressional District (TX-32)		People who live in the Texas 32nd Congressional District (TX-32)	
FDCCDTX31	$1.50	Political > US Congressional Districts > Texas > Texas 31st Congressional District (TX-31)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 31st Congressional District (TX-31)		People who live in the Texas 31st Congressional District (TX-31)	
FDCCDTX30	$1.50	Political > US Congressional Districts > Texas > Texas 30th Congressional District (TX-30)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 30th Congressional District (TX-30)		People who live in the Texas 30th Congressional District (TX-30)	
FDCCDTX29	$1.50	Political > US Congressional Districts > Texas > Texas 29th Congressional District (TX-29)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 29th Congressional District (TX-29)		People who live in the Texas 29th Congressional District (TX-29)	
FDCCDTX28	$1.50	Political > US Congressional Districts > Texas > Texas 28th Congressional District (TX-28)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 28th Congressional District (TX-28)		People who live in the Texas 28th Congressional District (TX-28)	
FDCCDTX27	$1.50	Political > US Congressional Districts > Texas > Texas 27th Congressional District (TX-27)	Factual	Geopulse Audiences	Political	US Congressional Districts	Texas	Texas 27th Congressional District (TX-27)		People who live in the Texas 27th Congressional District (TX-27)	
